Month,District_State,MaxTemperature
2012-02,"KHAMMAM, TELANGANA",40.62700
2012-02,"NELLORE, ANDHRA PRADESH",40.51200
2012-02,"DHENKANAL, ORISSA",40.44800
2012-02,"SONEPUR, ORISSA",40.39250
2012-02,"GADCHIROLI, MAHARASHTRA",40.38100
2012-02,"BOLANGIR, ORISSA",40.33950
2012-02,"GUNTUR, ANDHRA PRADESH",40.33200
2012-02,"DAVANAGERE, KARNATAKA",40.29650
2006-03,"BALASORE, ORISSA",45.95400
2006-03,"CUTTACK, ORISSA",45.80000
2006-03,"DANTEWARA, CHATISGARH",45.10850
2006-03,"KHAMMAM, TELANGANA",44.81650
2006-03,"JAJPUR, ORISSA",44.62900
2006-03,"MALKANGIRI, ORISSA",44.62500
2006-03,"HOWRAH, WEST BENGAL",44.26650
2006-03,"JHARSUGUDA, ORISSA",43.97700
2006-03,"CHANDRAPUR, MAHARASHTRA",43.84000
2006-03,"GADCHIROLI, MAHARASHTRA",43.47200
2010-03,"SIMDEGA, JHARKHAND",48.10800
2010-03,"GONDIA, MAHARASHTRA",47.67300
2010-03,"JANJGIR, CHATISGARH",47.60400
2010-03,"MAHASAMUND, CHATISGARH",47.50700
2010-03,"BARGARH, ORISSA",47.33900
2010-03,"SONEPUR, ORISSA",47.17900
2010-03,"DHENKANAL, ORISSA",47.16900
2010-03,"JHARSUGUDA, ORISSA",47.14400
2010-03,"CHANDRAPUR, MAHARASHTRA",46.99950
2010-03,"KORBA, CHATISGARH",46.89200
2000-07,"AMRITSAR, PUNJAB",49.28000
2000-07,"JAMMU, JAMMU AND KASHMIR",48.63200
2000-07,"KAPURTHALA, PUNJAB",48.59650
2000-07,"JULLUNDAR, PUNJAB",48.52700
2000-07,"SANGRUR, PUNJAB",48.52500
2000-07,"GURDASPUR, PUNJAB",47.98000
2000-07,"FEROZEPORE, PUNJAB",47.93500
2000-07,"JIND, HARYANA",47.68400
2000-07,"AMBALA, HARYANA",47.62300
2000-07,"HOSHIARPUR, PUNJAB",47.59400
2001-10,"GANGANAGAR, RAJASTHAN",42.83050
2001-10,"FARIDKOT, PUNJAB",42.74200
2001-10,"JALORE, RAJASTHAN",42.51050
2001-10,"BARMER, RAJASTHAN",42.49800
2001-10,"FEROZEPORE, PUNJAB",42.43500
2001-10,"PATAN, GUJARAT",42.20600
2001-10,"BANASKANTHA, GUJARAT",41.78650
2001-10,"SANGRUR, PUNJAB",41.78000
2001-10,"BHATINDA, PUNJAB",41.74400
2001-10,"MEHSANA, GUJARAT",41.58300
2004-11,"NORTH GOA, GOA",37.84800
2004-11,"SURAT, GUJARAT",37.09100
2004-11,"AHMEDABAD, GUJARAT",36.50550
2004-11,"CHANDRAPUR, MAHARASHTRA",36.23850
