Month,District_State,MinimumRelativeHumidity
2002-12,"SIMLA/MAHASU, HIMACHAL PRADESH",0.11514
2002-12,"NAINITAL, UTTARAKHAND",0.11847
2002-12,"UDHAMSING NAGAR, UTTARAKHAND",0.12089
2012-08,"FARIDKOT, PUNJAB",0.28429
2012-08,"GANGANAGAR, RAJASTHAN",0.30585
2012-08,"JAISALMER, RAJASTHAN",0.31412
2012-08,"SANGRUR, PUNJAB",0.34020
2012-08,"BIKANER, RAJASTHAN",0.34430
2012-08,"AMRITSAR, PUNJAB",0.36205
2012-08,"CHURU, RAJASTHAN",0.37278
2012-08,"FEROZEPORE, PUNJAB",0.37741
2012-08,"KANCHEEPURAM, TAMILNADU",0.38476
2012-08,"BHIWANI, HARYANA",0.38653
2004-02,"MANDI, HIMACHAL PRADESH",0.12155
2004-02,"RAJKOT, GUJARAT",0.12651
2004-02,"PATAN, GUJARAT",0.12819
2004-02,"PITHORGARH, UTTARAKHAND",0.12959
2004-02,"SURENDRANAGAR, GUJARAT",0.13174
2004-02,"PARBHANI, MAHARASHTRA",0.13272
2004-02,"ALMORA, UTTARAKHAND",0.13294
2004-02,"PALI, RAJASTHAN",0.13345
2004-02,"GARWAL PAURI, UTTARAKHAND",0.13431
2004-02,"NAINITAL, UTTARAKHAND",0.13468
2012-02,"BARMER, RAJASTHAN",0.08965
2012-02,"JAISALMER, RAJASTHAN",0.10048
2012-02,"BIDAR, KARNATAKA",0.10302
2012-02,"DANGS, GUJARAT",0.10317
2012-02,"NANDED, MAHARASHTRA",0.10467
2012-02,"OSMANABAD, MAHARASHTRA",0.10738
2012-02,"YEOTMAL, MAHARASHTRA",0.10808
2012-02,"LATUR, MAHARASHTRA",0.10849
2012-02,"NIZAMABAD, TELANGANA",0.11012
2012-02,"HINGOLI, MAHARASHTRA",0.11013
2006-03,"SOUTHSIKKIM, SIKKIM",0.03902
2006-03,"EAST SIKKIM, SIKKIM",0.05247
2006-03,"PATAN, GUJARAT",0.07701
2006-03,"JALORE, RAJASTHAN",0.07708
2006-03,"BANASKANTHA, GUJARAT",0.07820
2006-03,"UDHAMSING NAGAR, UTTARAKHAND",0.07902
2006-03,"KAIRA/KHEDA, GUJARAT",0.07994
2006-03,"PALI, RAJASTHAN",0.08198
2006-03,"SURENDRANAGAR, GUJARAT",0.08285
2006-03,"MADHUBANI, BIHAR",0.08330
2010-03,"NEEMUCH, MADHAYA PRADESH",0.09612
2010-03,"JHABUA, MADHAYA PRADESH",0.09697
2010-03,"GANGANAGAR, RAJASTHAN",0.09761
2010-03,"UJJAIN, MADHAYA PRADESH",0.09833
2010-03,"MORENA, MADHAYA PRADESH",0.09837
2010-03,"CHITTORGARH, RAJASTHAN",0.09892
2010-03,"LATUR, MAHARASHTRA",0.09932
2010-03,"PANNA, MADHAYA PRADESH",0.09945
2010-03,"BARODA, GUJARAT",0.09972
2010-03,"KARAULI, RAJASTHAN",0.10058
2000-07,"JAMMU, JAMMU AND KASHMIR",0.17498
2000-07,"UDHAMPUR, JAMMU AND KASHMIR",0.19329
2000-07,"KATHUA, JAMMU AND KASHMIR",0.19623
2000-07,"GURDASPUR, PUNJAB",0.20037
2000-07,"AMRITSAR, PUNJAB",0.20149
2000-07,"FARIDKOT, PUNJAB",0.20892
2000-07,"GANGANAGAR, RAJASTHAN",0.21085
2000-07,"KAPURTHALA, PUNJAB",0.22156
